title,composer_name,album_name,genre_name
Moses? I Amn't,Mogwai,Happy Songs for Happy People,Indie
Movement,LCD Soundsystem,LCD Soundsystem (Disc 1),Electronica Dance
Mr. Moonlight,Clinic,Walking With Thee,Alternative Punk
Mr. Natwarlal,Djmedjyou,Bombay 2: Electric Vindaloo,Hip-Hop
My Little Corner Of The World,Yo La Tengo,I Can Hear The Heart Beating As One,Alternative Punk
Neon Bible,Arcade Fire,Neon Bible,Power Ballad
Neuschnee 78,Neu!,Neu! 2,Electronica Dance
New Noise,Steve Aoki,Pillowface And His Airplane Chronicles,Electronic
New Paths To Helicon Pt II,Mogwai,Government Commissions (BBC Sessions 1996-2003),Alternative Punk
Nightwaves,Vhs Or Beta,Night On Fire,Folk
O I Sleep,Mogwai,Rock Action,Alternative Punk
Odd Form Every Angle,Tipper,The Seamless Unspeakable Something,Electronic
Oh My,Office,A Night At The Ritz,Rock
One PM Again,Yo La Tengo,I Can Hear The Heart Beating As One,Alternative Punk
Only The Lonely,Chris Isaak,Baja Sessions,Pop
Orbit 405,Flying Lotus,Los Angeles,Electronic
Over Fire Island,Brian Eno,Another Green World,Electronica Dance
packt like sardines in a crushd tin box,Radiohead,BBC Live 2001,Alternative Rock
Parachutes,Coldplay,Parachutes,Rock
Parisian Goldfish,Flying Lotus,Los Angeles,Electronic
Paul is Dead,Yo La Tengo,Electr-o-pura,Alternative Punk
Permanent Daylight,Radiohead,My Iron Lung [EP] [UK],Alternative Punk
Pet Eunuch,Clinic,Walking With Thee,Alternative Punk
Pin,Yeah Yeah Yeahs,Fever To Tell,Alternative Punk
Pins & Needles,Tipper,Tip Hop,IDM
Pitter Patter Goes My Heart,Broken Social Scene,You Forgot It In People,Rock
Planting The Seed,David Holmes,Ocean's Eleven,Swing Jazz Vocal
Posed To Death,The Faint,Danse Macabre,Alternative Punk
Prologue,Bear McCreary,Battlestar Galactica Season One,Soundtrack
Prove Yourself,Radiohead,Pablo Honey,Alternative Punk
Punk Rock,Mogwai,Come on Die Young,Rock
pushing the envelope open,DJ Z-Trip & DJ P,Uneasy Listening,Turntablism
Rah-Keet,Djmedjyou,Bombay 2: Electric Vindaloo,Hip-Hop
Rain Dogs,Tom Waits,Rain Dogs,Rock
Ready Set Glow,Atlas Sound,Let The Blind Lead Those Who Can See But Cannot Feel,Indie Rock
Refur,Sigur Ros,Saglopur,Blues
Reprise,Doves,Lost Souls,Blues
Return To Hot Chicken,Yo La Tengo,I Can Hear The Heart Beating As One,Alternative Punk
Ride It On,Mazzy Star,She Hangs Brightly,Alternative
Ripcord,Radiohead,Pablo Honey,Alternative Punk
RobertaFlack (Feat. Dolly),Flying Lotus,Los Angeles,Electronic
Robot Chant,Mogwai,Rock Action,Alternative Punk
Save Me,The Jesus And Mary Chain,Stoned & Dethroned,Rock
Sealed Human,The Faint,Blank Wave Arcade,Alternative Punk
Search For Life,Sigur Ros,Von,Space
Sensor Blowfiles,White Noise Carousel,Iamthedirectory,Ambient
Sentimental Heart,She & Him,Volume One,Pop
SexSlaveShip,Flying Lotus,Los Angeles,Electronic
Sexy Mother Fakir,Djmedjyou,Bombay 2: Electric Vindaloo,Hip-Hop
Shadows Of Salford,Doves,Some Cities,Alternative Punk
She,The Jesus And Mary Chain,Stoned & Dethroned,Rock
Sleep Swim,Mum,Finally We Are No One,Alternative Punk
Sleeper,White Noise Carousel,Iamthedirectory,Ambient
Sleepy Dinosaur,Flying Lotus,Los Angeles,Electronic
Slight Night Shiver,M83,Before The Dawn Heals Us,Blues
Slow Hands,Interpol,Antics,Alternative Punk
Small Horror,Atlas Sound,Let The Blind Lead Those Who Can See But Cannot Feel,Indie Rock
Smiles,Spiritualized,Lazer Guided Melodies,Alternative Punk
Sombre Reptiles,Brian Eno,Another Green World,Electronica Dance
Sometimes Always (feat. Hope Sandoval),The Jesus And Mary Chain,Stoned & Dethroned,Rock
Sounds,Earlimart,Treble & Tremble,Indie Rock
Spirits Drifting,Brian Eno,Another Green World,Electronica Dance
St. Elmo's Fire,Brian Eno,Another Green World,Electronica Dance
Steadier Footing,Death Cab For Cutie,The Photo Album,Rock
Step Into The Breeze,Spiritualized,Lazer Guided Melodies,Alternative Punk
Straumnes,Sigur Ros,Meo eyrum endalaust,Rock
Sun Will Set,Zoe Keating,One Cello x 16: Natoma,Classical
Super 78,Neu!,Neu! 2,Electronica Dance
Sweet Darlin',She & Him,Volume One,Pop
Take It Back,She & Him,Volume One,Pop
Testament (Feat. Gonja Sufi),Flying Lotus,Los Angeles,Electronic
Tetrishead,Zoe Keating,One Cello x 16: Natoma,Classical
That's Incentive,Death Cab For Cutie,You Can Play These Songs With Chords,Rock
The Beginning of the End,Nine Inch Nails,Year Zero,Industrial
The Big Ship,Brian Eno,Another Green World,Electronica Dance
The Boy Who Ran Away (Riton Re-Dub,Steve Aoki,Pillowface And His Airplane Chronicles,Electronic
The Collector,Nine Inch Nails,With Teeth,Electronica Dance
The Disease,Echo & The Bunnymen,Heaven Up Here,Alternative Punk
The Frail,Nine Inch Nails,The Fragile (Left),Industrial Dance
The Glasshouse,Tipper,Surrounded,Electronic
The Hour Grows Late,Yo La Tengo,Electr-o-pura,Alternative Punk
The Magician,Clinic,Winchester Cathedral,Rock
The Majestic #2,Clinic,Winchester Cathedral,Rock
The Passives,The Faint,Blank Wave Arcade,Alternative Punk
The Piano Has Been Drinking,Tom Waits,Small Change,Folk
The Puppet,Echo & The Bunnymen,Songs To Learn & Sing,Alternative Punk
The Real Story,David Holmes,Ocean's Twelve,Soundtrack
The Star Spangled Banner,Rebekah Del Rio And The Section Quartet,Southland Tales (OST),Soundtrack
The Utilities Suite: Sampes &,James_Zabiela,Utilities EP CDM,Electronic
The Well And The Lighthouse,Arcade Fire,Neon Bible,New Age
There Something Not as Valid When the Scenery is a Postcard,The Faint,Media,Alternative Rock
These Days,The Jesus And Mary Chain,Stoned & Dethroned,Rock
Thinking About You,Radiohead,Pablo Honey,Alternative Punk
Thirteen,DJ Z-Trip & DJ P,Uneasy Listening,Turntablism
Three 8 Bar Drum Loops (Hidden,David Holmes,Ocean's Twelve,Blues
Tick,Yeah Yeah Yeahs,Fever To Tell,Alternative Punk
Tracier,UNKLE,Self Defence [CD3],Electronic
Tripping The Light Fantastic,Tipper,The Seamless Unspeakable Something,Electronic
Underneath It All,Nine Inch Nails,The Fragile (Right),Industrial Dance
Untitled,She & Him,Volume One,Pop
Untrust Us,Crystal Castles,Crystal Castles,Electronic
Vertical Take Off in Egypt,Clinic,Winchester Cathedral,Rock
Victim Convenience,The Faint,Blank Wave Arcade,Alternative Punk
W.D.Y.Y.B.,Clinic,Winchester Cathedral,Rock
Walking With Thee,Clinic,Walking With Thee,Alternative Punk
Waters Of Nazereth,Steve Aoki,Pillowface And His Airplane Chronicles,Electronic
We Are Rockstars,Steve Aoki,Pillowface And His Airplane Chronicles,Electronic
Welcome,Clinic,Walking With Thee,Alternative Punk
When The Curious Girl Realizes She Is Under Glass,Bright Eyes,Fevers & Mirrors,Alternative Punk
Where We're Calling From,Doves,The Last Broadcast,Alternative Punk
Whistle For Will,Hot Chip,Made In The Dark,Electronic
White City,Sounds From The Ground,High Rising,Electronic
Why Do You Let Me Stay Here?,She & Him,Volume One,Pop
Wish I Could,The Jesus And Mary Chain,Stoned & Dethroned,Rock
Wonderwall,Radiohead,The Golden Unplugged Album,Alternative Punk
Worked Up So Sexual,The Faint,Blank Wave Arcade,Alternative Punk
World of Sleepers,Carbon Based Lifeforms,World of Sleepers,Ambient
X,M83,Before The Dawn Heals Us,Blues
Yoshimi Battles The Pink Robots Pt. 2,The Flaming Lips,Yoshimi Battles The Pink Robots,Alternative
Your Star Will Shine,The Stone Roses,Second Coming,Alternative
Youve Been Flirting Again,Bjork,Post,Classical
Zawinul/Lava,Brian Eno,Another Green World,Electronica Dance
Zither,Doves,Lost Sides [Australia CD],Blues
